,column,datatype_current_dtype_report,datatype_suggested_dtype_report,semantic_current_dtype_report,semantic_semantic_type_guess,key_id_like_flag,key_is_primary_key_like,key_is_foreign_key_like,pattern_current_dtype_report,pattern_boolean_like_string_detection,pattern_numeric_like_object_detection,pattern_date_like_object_detection,train_content_current_dtype_report,train_content_non_null_count,train_content_unique_count,train_content_unique_ratio,train_content_avg_string_length,train_content_text_vs_categorical_split,train_content_mixed_type_flag,clean_current_dtype_report,clean_special_character_flag,clean_whitespace_issue_flag,clean_format_inconsistency_flag,clean_leading_or_trailing_space_ratio,clean_multiple_space_ratio,clean_special_character_ratio
0,AMT_ANNUITY,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,307499,13672,0.044461933209538895,,not_applicable,False,float64,False,False,False,,,
1,AMT_CREDIT,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,307511,5603,0.01822048642162394,,not_applicable,False,float64,False,False,False,,,
2,AMT_GOODS_PRICE,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,307233,1002,0.0032613684076905802,,not_applicable,False,float64,False,False,False,,,
3,AMT_INCOME_TOTAL,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,307511,2548,0.008285882456237337,,not_applicable,False,float64,False,False,False,,,
4,AMT_REQ_CREDIT_BUREAU_DAY,float64,Int64,float64,categorical,False,False,False,float64,False,False,False,float64,265992,9,3.3835604078318146e-05,,not_applicable,False,float64,False,False,False,,,
5,AMT_REQ_CREDIT_BUREAU_HOUR,float64,Int64,float64,categorical,False,False,False,float64,False,False,False,float64,265992,5,1.879755782128786e-05,,not_applicable,False,float64,False,False,False,,,
6,AMT_REQ_CREDIT_BUREAU_MON,float64,Int64,float64,categorical,False,False,False,float64,False,False,False,float64,265992,24,9.022827754218172e-05,,not_applicable,False,float64,False,False,False,,,
7,AMT_REQ_CREDIT_BUREAU_QRT,float64,Int64,float64,categorical,False,False,False,float64,False,False,False,float64,265992,11,4.135462720683329e-05,,not_applicable,False,float64,False,False,False,,,
8,AMT_REQ_CREDIT_BUREAU_WEEK,float64,Int64,float64,categorical,False,False,False,float64,False,False,False,float64,265992,9,3.3835604078318146e-05,,not_applicable,False,float64,False,False,False,,,
9,AMT_REQ_CREDIT_BUREAU_YEAR,float64,Int64,float64,categorical,False,False,False,float64,False,False,False,float64,265992,25,9.39877891064393e-05,,not_applicable,False,float64,False,False,False,,,
10,APARTMENTS_AVG,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,151450,2339,0.01544404093760317,,not_applicable,False,float64,False,False,False,,,
11,APARTMENTS_MEDI,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,151450,1148,0.007580059425552988,,not_applicable,False,float64,False,False,False,,,
12,APARTMENTS_MODE,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,151450,760,0.005018157807857379,,not_applicable,False,float64,False,False,False,,,
13,APPROVED_AMT_APPLICATION_MAX,float64,float64,float64,numeric_continuous,False,False,False,float64,False,False,False,float64,290065,50746,0.1749469946391326,,not_applicable,False,float64,False,False,False,,,
