,column,dtype,non_null_count_x,unique_count,unique_percentage,duplicate_count,duplicate_value_ratio,constant_flag,top_value_percentage,quasi_constant_flag,top_value,top_value_count,top_values_preview,non_null_count_y,dominant_value,dominant_value_pct,second_dominant_value,second_dominant_pct,top_values,suspicious_uniformity_flag,dominance_note
0,AMT_ANNUITY,float64,307499,13672,4.45,293827,95.55,False,2.08,False,9000.0,6385,"[(np.float64(9000.0), 6385), (np.float64(13500.0), 5514), (np.float64(6750.0), 2279)]",307499,9000.0,2.08,13500.0,1.79,"[('9000.0', 2.08), ('13500.0', 1.79), ('6750.0', 0.74)]",False,Most frequent dominates with 2.08%
1,AMT_CREDIT,float64,307511,5603,1.82,301908,98.18,False,3.16,False,450000.0,9709,"[(np.float64(450000.0), 9709), (np.float64(675000.0), 8877), (np.float64(225000.0), 8162)]",307511,450000.0,3.16,675000.0,2.89,"[('450000.0', 3.16), ('675000.0', 2.89), ('225000.0', 2.65)]",False,Most frequent dominates with 3.16%
2,AMT_GOODS_PRICE,float64,307233,1002,0.33,306231,99.67,False,8.47,False,450000.0,26022,"[(np.float64(450000.0), 26022), (np.float64(225000.0), 25282), (np.float64(675000.0), 24962)]",307233,450000.0,8.47,225000.0,8.23,"[('450000.0', 8.47), ('225000.0', 8.23), ('675000.0', 8.12)]",False,Most frequent dominates with 8.47%
3,AMT_INCOME_TOTAL,float64,307511,2548,0.83,304963,99.17,False,11.63,False,135000.0,35750,"[(np.float64(135000.0), 35750), (np.float64(112500.0), 31019), (np.float64(157500.0), 26556)]",307511,135000.0,11.63,112500.0,10.09,"[('135000.0', 11.63), ('112500.0', 10.09), ('157500.0', 8.64)]",False,Most frequent dominates with 11.63%
4,AMT_REQ_CREDIT_BUREAU_DAY,float64,265992,9,0.0,265983,100.0,False,99.44,True,0.0,264503,"[(np.float64(0.0), 264503), (np.float64(1.0), 1292), (np.float64(2.0), 106)]",265992,0.0,99.44,1.0,0.49,"[('0.0', 99.44), ('1.0', 0.49), ('2.0', 0.04)]",True,Appears uniformly dominated
5,AMT_REQ_CREDIT_BUREAU_HOUR,float64,265992,5,0.0,265987,100.0,False,99.39,True,0.0,264366,"[(np.float64(0.0), 264366), (np.float64(1.0), 1560), (np.float64(2.0), 56)]",265992,0.0,99.39,1.0,0.59,"[('0.0', 99.39), ('1.0', 0.59), ('2.0', 0.02)]",True,Appears uniformly dominated
6,AMT_REQ_CREDIT_BUREAU_MON,float64,265992,24,0.01,265968,99.99,False,83.55,False,0.0,222233,"[(np.float64(0.0), 222233), (np.float64(1.0), 33147), (np.float64(2.0), 5386)]",265992,0.0,83.55,1.0,12.46,"[('0.0', 83.55), ('1.0', 12.46), ('2.0', 2.02)]",False,Most frequent dominates with 83.55%
7,AMT_REQ_CREDIT_BUREAU_QRT,float64,265992,11,0.0,265981,100.0,False,80.99,False,0.0,215417,"[(np.float64(0.0), 215417), (np.float64(1.0), 33862), (np.float64(2.0), 14412)]",265992,0.0,80.99,1.0,12.73,"[('0.0', 80.99), ('1.0', 12.73), ('2.0', 5.42)]",False,Most frequent dominates with 80.99%
8,AMT_REQ_CREDIT_BUREAU_WEEK,float64,265992,9,0.0,265983,100.0,False,96.79,True,0.0,257456,"[(np.float64(0.0), 257456), (np.float64(1.0), 8208), (np.float64(2.0), 199)]",265992,0.0,96.79,1.0,3.09,"[('0.0', 96.79), ('1.0', 3.09), ('2.0', 0.07)]",False,Most frequent dominates with 96.79%
9,AMT_REQ_CREDIT_BUREAU_YEAR,float64,265992,25,0.01,265967,99.99,False,26.99,False,0.0,71801,"[(np.float64(0.0), 71801), (np.float64(1.0), 63405), (np.float64(2.0), 50192)]",265992,0.0,26.99,1.0,23.84,"[('0.0', 26.99), ('1.0', 23.84), ('2.0', 18.87)]",False,Most frequent dominates with 26.99%
