,column,dtype,non_null_count,missing_count_x,missing_pct,cardinality_count,cardinality_group,high_cardinality_flag,very_high_cardinality_flag,potential_id_flag,numeric_categorical_flag,encoding_recommendation,sample_values,unique_count,missing_count_y,missing_percentage,top_category,top_category_percentage,rare_category_count,rare_category_percentage,rare_grouping_recommended,category_distribution_balance,normalized_entropy,high_cardinality,unseen_category_risk,unseen_category_count,unseen_category_ratio,unseen_categories,potential_typos,train_category_count,test_category_count,train_top_categories,test_top_categories
0,AMT_ANNUITY,float64,307499,12,0.0,13672,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['24700.5', '4369.5', '15606.0', '22446.0', '52443.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
1,AMT_CREDIT,float64,307511,0,0.0,5603,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['406597.5', '165915.0', '680724.0', '1091565.0', '1355328.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
2,AMT_GOODS_PRICE,float64,307233,278,0.09,1002,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['351000.0', '918000.0', '1638000.0', '464463.0', '379867.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
3,AMT_INCOME_TOTAL,float64,307511,0,0.0,2548,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['202500.0', '49050.0', '54900.0', '45675.0', '187222.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
4,AMT_REQ_CREDIT_BUREAU_DAY,float64,265992,41519,13.5,9,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0.0', '1.0', '3.0', '2.0', '4.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
5,AMT_REQ_CREDIT_BUREAU_HOUR,float64,265992,41519,13.5,5,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0.0', '1.0', '2.0', '3.0', '4.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
6,AMT_REQ_CREDIT_BUREAU_MON,float64,265992,41519,13.5,24,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['0.0', '5.0', '4.0', '12.0', '17.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
7,AMT_REQ_CREDIT_BUREAU_QRT,float64,265992,41519,13.5,11,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['0.0', '2.0', '3.0', '5.0', '7.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
8,AMT_REQ_CREDIT_BUREAU_WEEK,float64,265992,41519,13.5,9,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0.0', '1.0', '3.0', '2.0', '4.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
9,AMT_REQ_CREDIT_BUREAU_YEAR,float64,265992,41519,13.5,25,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['1.0', '3.0', '10.0', '25.0', '17.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
