,column,count,missing_count_x,missing_pct,min_value,max_value,range_value,mean_value,median_value,std_dev,coef_of_variation,p25,p75,iqr_x,skewness_x,kurtosis_x,zero_count,negative_count,q1_x,q3_x,iqr_y,lower_bound,upper_bound,outlier_count_x,outlier_percentage,dtype,non_null_count,missing_count_y,missing_rate,unique_count,mean,median,std,min,q1_y,q3_y,max,iqr,skewness_y,kurtosis_y,outlier_count_y,outlier_rate,skew_label,variance_flag,normality_pvalue,normality_label
0,AMT_ANNUITY,307499,12,0.0039,1615.5,258025.5,256410.0,27108.5739,24903.0,14493.7373,0.5347,16524.0,34596.0,18072.0,1.5798,7.7072,0,0,16524.0,34596.0,18072.0,-10584.0,61704.0,7504,2.4403,float64,307499,12,0.0,13672,27108.5739,24903.0,14493.7373,1615.5,16524.0,34596.0,258025.5,18072.0,1.5798,7.7073,7504,0.0244,highly_skewed,variable,0.0,non_normal
1,AMT_CREDIT,307511,0,0.0,45000.0,4050000.0,4005000.0,599025.9997,513531.0,402490.777,0.6719,270000.0,808650.0,538650.0,1.2348,1.934,0,0,270000.0,808650.0,538650.0,-537975.0,1616625.0,6562,2.1339,float64,307511,0,0.0,5603,599025.9997,513531.0,402490.777,45000.0,270000.0,808650.0,4050000.0,538650.0,1.2348,1.934,6562,0.0213,highly_skewed,variable,0.0,non_normal
2,AMT_GOODS_PRICE,307233,278,0.0904,40500.0,4050000.0,4009500.0,538396.2074,450000.0,369446.4605,0.6862,238500.0,679500.0,441000.0,1.349,2.4319,0,0,238500.0,679500.0,441000.0,-423000.0,1341000.0,14728,4.7938,float64,307233,278,0.0009,1002,538396.2074,450000.0,369446.4605,40500.0,238500.0,679500.0,4050000.0,441000.0,1.349,2.4319,14728,0.0479,highly_skewed,variable,0.0,non_normal
3,AMT_INCOME_TOTAL,307511,0,0.0,25650.0,117000000.0,116974350.0,168797.9193,147150.0,237123.1463,1.4048,112500.0,202500.0,90000.0,391.5577,191783.436,0,0,112500.0,202500.0,90000.0,-22500.0,337500.0,14035,4.5641,float64,307511,0,0.0,2548,168797.9193,147150.0,237123.1463,25650.0,112500.0,202500.0,117000000.0,90000.0,391.5597,191786.5544,14035,0.0456,highly_skewed,variable,0.0,non_normal
4,AMT_REQ_CREDIT_BUREAU_DAY,265992,41519,13.5016,0.0,9.0,9.0,0.007,0.0,0.1108,15.822,0.0,0.0,0.0,27.0434,1151.8459,264503,0,0.0,0.0,0.0,0.0,0.0,1489,0.5598,float64,265992,41519,0.135,9,0.007,0.0,0.1108,0.0,0.0,0.0,9.0,0.0,27.0435,1151.8676,0,0.0,highly_skewed,variable,0.0,non_normal
5,AMT_REQ_CREDIT_BUREAU_HOUR,265992,41519,13.5016,0.0,4.0,4.0,0.0064,0.0,0.0838,13.0964,0.0,0.0,0.0,14.534,254.2388,264366,0,0.0,0.0,0.0,0.0,0.0,1626,0.6113,float64,265992,41519,0.135,5,0.0064,0.0,0.0838,0.0,0.0,0.0,4.0,0.0,14.5341,254.2436,0,0.0,highly_skewed,variable,0.0,non_normal
6,AMT_REQ_CREDIT_BUREAU_MON,265992,41519,13.5016,0.0,27.0,27.0,0.2674,0.0,0.916,3.4256,0.0,0.0,0.0,7.8048,90.4331,222233,0,0.0,0.0,0.0,0.0,0.0,43759,16.4512,float64,265992,41519,0.135,24,0.2674,0.0,0.916,0.0,0.0,0.0,27.0,0.0,7.8048,90.4349,0,0.0,highly_skewed,variable,0.0,non_normal
7,AMT_REQ_CREDIT_BUREAU_QRT,265992,41519,13.5016,0.0,261.0,261.0,0.2655,0.0,0.7941,2.9911,0.0,0.0,0.0,134.365,43706.6431,215417,0,0.0,0.0,0.0,0.0,0.0,50575,19.0137,float64,265992,41519,0.135,11,0.2655,0.0,0.7941,0.0,0.0,0.0,261.0,0.0,134.3658,43707.4648,0,0.0,highly_skewed,variable,0.0,non_normal
8,AMT_REQ_CREDIT_BUREAU_WEEK,265992,41519,13.5016,0.0,8.0,8.0,0.0344,0.0,0.2047,5.9567,0.0,0.0,0.0,9.2935,166.7491,257456,0,0.0,0.0,0.0,0.0,0.0,8536,3.2091,float64,265992,41519,0.135,9,0.0344,0.0,0.2047,0.0,0.0,0.0,8.0,0.0,9.2936,166.7522,0,0.0,highly_skewed,variable,0.0,non_normal
9,AMT_REQ_CREDIT_BUREAU_YEAR,265992,41519,13.5016,0.0,25.0,25.0,1.9,1.0,1.8693,0.9839,0.0,3.0,3.0,1.2436,1.969,71801,0,0.0,3.0,3.0,-4.5,7.5,3364,1.2647,float64,265992,41519,0.135,25,1.9,1.0,1.8693,0.0,0.0,3.0,25.0,3.0,1.2436,1.969,3364,0.0126,highly_skewed,variable,0.0,non_normal
