,column,count,missing_count,iqr_q1,iqr_q3,iqr_value,iqr_lower_bound,iqr_upper_bound,iqr_lower_count,iqr_upper_count,iqr_total_count,iqr_total_pct,extreme_iqr_count,extreme_iqr_pct,zscore_lower_bound,zscore_upper_bound,zscore_lower_count,zscore_upper_count,zscore_total_count,zscore_total_pct,mod_zscore_mad,mod_zscore_count,mod_zscore_pct,pctl_lower_bound,pctl_upper_bound,pctl_count,pctl_pct,skewness_x,kurtosis,distribution_type_x,is_heavy_tailed,is_skewed,heavy_tail_flag,has_outliers,outlier_severity,suggested_treatment,winsorize_lower,winsorize_upper,distribution_type_y,transformation_recommendation,scaling_needed,clipping_recommendation,winsorization_recommendation,is_numeric,is_discrete,is_near_constant,zero_inflation_flag,binning_opportunity,structure_score,recommended_action,reason,zero_ratio,unique_count,skewness_y,outlier_percentage
0,AMT_ANNUITY,307499,12,16524.0,34596.0,18072.0,-10584.0,61704.0,0,7504,7504,2.44,1024,0.33,-16372.64,70589.79,0,2959,2959,0.96,8815.5,2948,0.96,6182.91,70006.5,6145,2.0,1.58,7.71,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-10584.0,61704.0,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,False,False,True,0.5,treat_as_categorical,"high_skew, discrete",0.0,13672,1.5798,2.44
1,AMT_CREDIT,307511,0,270000.0,808650.0,538650.0,-537975.0,1616625.0,0,6562,6562,2.13,444,0.14,-608446.33,1806498.33,0,3255,3255,1.06,251469.0,3215,1.05,76410.0,1854000.0,5811,1.89,1.23,1.93,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-537975.0,1616625.0,right_skewed,log1p,True,False,True,True,True,False,False,True,0.5,treat_as_categorical,"high_skew, discrete",0.0,5603,1.2348,2.13
2,AMT_GOODS_PRICE,307233,278,238500.0,679500.0,441000.0,-423000.0,1341000.0,0,14728,14728,4.79,1090,0.35,-569943.17,1646735.59,0,4173,4173,1.36,225000.0,4339,1.41,67500.0,1800000.0,3493,1.14,1.35,2.43,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-423000.0,1341000.0,right_skewed,log1p,True,False,True,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0,1002,1.349,4.79
3,AMT_INCOME_TOTAL,307511,0,112500.0,202500.0,90000.0,-22500.0,337500.0,0,14035,14035,4.56,3014,0.98,-542571.52,880167.36,0,454,454,0.15,43650.0,9331,3.03,45000.0,472500.0,4522,1.47,391.56,191783.44,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-22500.0,337500.0,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0,2548,391.5597,4.56
4,AMT_REQ_CREDIT_BUREAU_DAY,265992,41519,0.0,0.0,0.0,0.0,0.0,0,1489,1489,0.56,1489,0.56,-0.33,0.34,0,1489,1489,0.56,0.07,1489,0.56,0.0,0.0,1489,0.56,27.04,1151.85,right_skewed,True,True,True,True,low,investigate_individually,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.9944,9,27.0435,0.0
5,AMT_REQ_CREDIT_BUREAU_HOUR,265992,41519,0.0,0.0,0.0,0.0,0.0,0,1626,1626,0.61,1626,0.61,-0.25,0.26,0,1626,1626,0.61,0.06,1626,0.61,0.0,0.0,1626,0.61,14.53,254.24,right_skewed,True,True,True,True,low,investigate_individually,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.9939,5,14.5341,0.0
6,AMT_REQ_CREDIT_BUREAU_MON,265992,41519,0.0,0.0,0.0,0.0,0.0,0,43759,43759,16.45,43759,16.45,-2.48,3.02,0,3235,3235,1.22,0.62,3235,1.22,0.0,4.0,2159,0.81,7.8,90.43,right_skewed,True,True,True,True,severe,consider_log_transform,0.0,0.0,zero_inflated,log1p_or_tweedie,True,True,False,True,True,True,True,True,0.7,drop_or_encode,near_constant,0.8355,24,7.8048,0.0
7,AMT_REQ_CREDIT_BUREAU_QRT,265992,41519,0.0,0.0,0.0,0.0,0.0,0,50575,50575,19.01,50575,19.01,-2.12,2.65,0,2301,2301,0.87,0.54,2301,0.87,0.0,2.0,2301,0.87,134.37,43706.64,right_skewed,True,True,True,True,severe,consider_log_transform,0.0,0.0,zero_inflated,log1p_or_tweedie,True,True,False,True,True,True,True,True,0.5,drop_or_encode,near_constant,0.8099,11,134.3658,0.0
8,AMT_REQ_CREDIT_BUREAU_WEEK,265992,41519,0.0,0.0,0.0,0.0,0.0,0,8536,8536,3.21,8536,3.21,-0.58,0.65,0,8536,8536,3.21,0.14,8536,3.21,0.0,1.0,328,0.12,9.29,166.75,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,True,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.9679,9,9.2936,0.0
9,AMT_REQ_CREDIT_BUREAU_YEAR,265992,41519,0.0,3.0,3.0,-4.5,7.5,0,3364,3364,1.26,58,0.02,-3.71,7.51,0,3364,3364,1.26,1.0,7233,2.72,0.0,8.0,1237,0.47,1.24,1.97,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-4.5,7.5,right_skewed,log1p,True,False,False,True,True,True,False,True,0.5,drop_or_encode,near_constant,0.2699,25,1.2436,1.26
