,column,sample_size,target_type,pearson_corr_with_target,pearson_pvalue,pearson_ci_lower,pearson_ci_upper,spearman_corr_with_target,spearman_pvalue,point_biserial_corr,point_biserial_pvalue,mutual_info_score,mutual_info_normalized,eta_squared,abs_max_correlation,best_method,best_correlation,best_pvalue,correlation_direction,signal_strength,is_significant,is_strong_signal,mutual_information_numeric,nonlinear_signal_strength,signal_to_noise_flag,target_mean_by_bin_variation,monotonic_trend_with_target,bin_lift_max,correlation,information_value,predictive_level,is_predictive,n_valid_bins,unique_values,reason,max_abs_correlation,corr_score,mi_score,bin_var_score,bin_lift_score,total_score,predictive_power_band
0,AMT_ANNUITY,307499,binary,-0.0128,0.0,-0.0164,-0.0093,-0.0001,0.967562,-0.0128,0.0,0.0122,0.0061,0.0002,0.0128,point_biserial,-0.0128,0.0,negative,negligible,True,False,0.012044,weak,True,0.043,True,1.2488,-0.0001,0.0266,weak,False,10,13672,,0.0128,0,1,1,0,2,weak
1,AMT_CREDIT,307511,binary,-0.0304,0.0,-0.0339,-0.0268,-0.0175,0.0,-0.0304,0.0,0.0068,0.0034,0.0009,0.0304,point_biserial,-0.0304,0.0,negative,negligible,True,False,0.006944,weak,True,0.0519,True,1.3034,-0.0175,0.0451,weak,True,10,5603,,0.0304,0,1,1,1,3,weak
2,AMT_GOODS_PRICE,307233,binary,-0.0396,0.0,-0.0432,-0.0361,-0.0315,0.0,-0.0396,0.0,0.0061,0.003,0.0016,0.0396,pearson,-0.0396,0.0,negative,negligible,True,False,0.005185,weak,True,0.0836,False,1.644,-0.0315,0.092,weak,True,10,1002,,0.0396,0,1,2,1,4,moderate
3,AMT_INCOME_TOTAL,307511,binary,-0.004,0.027238,-0.0075,-0.0004,-0.0181,0.0,-0.004,0.027238,0.0022,0.0011,0.0,0.0181,spearman,-0.0181,0.0,negative,negligible,True,False,0.00268,negligible,False,0.0286,True,1.1149,-0.0181,0.0108,very_weak,False,10,2548,,0.0181,0,0,0,0,0,very_weak
4,AMT_REQ_CREDIT_BUREAU_DAY,265992,binary,0.0027,0.163084,-0.0011,0.0065,0.0049,0.011224,0.0027,0.163084,0.0001,0.0001,0.0,0.0049,spearman,0.0049,0.011224,none,negligible,True,False,0.0,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0049,0,0,0,0,0,very_weak
5,AMT_REQ_CREDIT_BUREAU_HOUR,265992,binary,0.0009,0.631328,-0.0029,0.0047,0.001,0.609112,0.0009,0.631328,0.0001,0.0001,0.0,0.001,spearman,0.001,0.609112,none,negligible,False,False,0.0,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.001,0,0,0,0,0,very_weak
6,AMT_REQ_CREDIT_BUREAU_MON,265992,binary,-0.0125,0.0,-0.0163,-0.0087,-0.0069,0.000376,-0.0125,0.0,0.0015,0.0007,0.0002,0.0125,pearson,-0.0125,0.0,negative,negligible,True,False,0.00084,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0125,0,0,0,0,0,very_weak
7,AMT_REQ_CREDIT_BUREAU_QRT,265992,binary,-0.002,0.297044,-0.0058,0.0018,-0.0085,1.3e-05,-0.002,0.297044,0.0015,0.0007,0.0,0.0085,spearman,-0.0085,1.3e-05,none,negligible,True,False,0.001225,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0085,0,0,0,0,0,very_weak
8,AMT_REQ_CREDIT_BUREAU_WEEK,265992,binary,0.0008,0.684555,-0.003,0.0046,0.0007,0.704276,0.0008,0.684555,0.0006,0.0003,0.0,0.0008,pearson,0.0008,0.684555,none,negligible,False,False,0.0,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0008,0,0,0,0,0,very_weak
9,AMT_REQ_CREDIT_BUREAU_YEAR,265992,binary,0.0199,0.0,0.0161,0.0237,0.0195,0.0,0.0199,0.0,0.0072,0.0036,0.0004,0.0199,point_biserial,0.0199,0.0,positive,negligible,True,False,0.010768,weak,True,0.0156,True,1.0881,0.0195,0.0057,very_weak,False,5,25,,0.0199,0,1,0,0,1,very_weak
10,APARTMENTS_AVG,151450,binary,-0.0295,0.0,-0.0345,-0.0245,-0.035,0.0,-0.0295,0.0,0.0008,0.0004,0.0009,0.035,spearman,-0.035,0.0,negative,negligible,True,False,0.017312,weak,True,0.0362,True,1.1403,-0.035,0.0226,weak,False,10,2339,,0.035,0,1,1,0,2,weak
11,APARTMENTS_MEDI,151450,binary,-0.0292,0.0,-0.0342,-0.0242,-0.0345,0.0,-0.0292,0.0,0.0005,0.0003,0.0009,0.0345,spearman,-0.0345,0.0,negative,negligible,True,False,0.017208,weak,True,0.0352,True,1.1357,-0.0345,0.0218,weak,False,10,1148,,0.0345,0,1,1,0,2,weak
12,APARTMENTS_MODE,151450,binary,-0.0273,0.0,-0.0323,-0.0223,-0.033,0.0,-0.0273,0.0,0.0003,0.0001,0.0007,0.033,spearman,-0.033,0.0,negative,negligible,True,False,0.020041,moderate,True,0.0346,True,1.1285,-0.033,0.021,weak,False,10,760,,0.033,0,2,1,0,3,weak
13,APPROVED_AMT_APPLICATION_MAX,290065,binary,-0.0306,0.0,-0.0343,-0.027,-0.0395,0.0,-0.0306,0.0,0.0031,0.0015,0.0009,0.0395,spearman,-0.0395,0.0,negative,negligible,True,False,0.003285,negligible,False,0.054,True,1.4423,-0.0395,0.0321,weak,True,10,50746,,0.0395,0,0,1,1,2,weak
14,APPROVED_AMT_APPLICATION_MEAN,290065,binary,-0.0306,0.0,-0.0343,-0.027,-0.0369,0.0,-0.0306,0.0,0.002,0.001,0.0009,0.0369,spearman,-0.0369,0.0,negative,negligible,True,False,0.001958,negligible,False,0.0444,True,1.3447,-0.0369,0.0218,weak,False,10,168391,,0.0369,0,0,1,1,2,weak
15,APPROVED_AMT_CREDIT_MAX,290065,binary,-0.0276,0.0,-0.0312,-0.024,-0.0344,0.0,-0.0276,0.0,0.0032,0.0016,0.0008,0.0344,spearman,-0.0344,0.0,negative,negligible,True,False,0.003495,negligible,False,0.0512,True,1.41,-0.0344,0.0263,weak,True,10,58928,,0.0344,0,0,1,1,2,weak
16,APPROVED_AMT_CREDIT_MEAN,290065,binary,-0.0258,0.0,-0.0294,-0.0221,-0.031,0.0,-0.0258,0.0,0.0012,0.0006,0.0007,0.031,spearman,-0.031,0.0,negative,negligible,True,False,0.001185,negligible,False,0.0392,True,1.3302,-0.031,0.0168,very_weak,False,10,185460,,0.031,0,0,1,1,2,weak
17,APPROVED_APP_CREDIT_PERC_MAX,290056,binary,-0.0351,0.0,-0.0388,-0.0315,-0.0551,0.0,-0.0351,0.0,0.0041,0.002,0.0012,0.0551,spearman,-0.0551,0.0,negative,negligible,True,False,0.004574,negligible,False,0.0574,True,1.4161,-0.0551,0.046,weak,True,9,145549,,0.0551,1,0,1,1,3,weak
18,APPROVED_APP_CREDIT_PERC_MEAN,290056,binary,-0.0287,0.0,-0.0323,-0.025,-0.0418,0.0,-0.0287,0.0,0.0034,0.0017,0.0008,0.0418,spearman,-0.0418,0.0,negative,negligible,True,False,0.003277,negligible,False,0.0431,True,1.3076,-0.0418,0.0308,weak,False,10,239493,,0.0418,0,0,1,1,2,weak
19,APPROVED_CNT_PAYMENT_MEAN,290065,binary,0.0124,0.0,0.0088,0.016,0.0095,0.0,0.0124,0.0,0.0027,0.0014,0.0002,0.0124,point_biserial,0.0124,0.0,positive,negligible,True,False,0.003656,negligible,False,0.0316,True,1.2281,0.0095,0.0127,very_weak,False,10,1342,,0.0124,0,0,1,0,1,very_weak
20,APPROVED_CNT_PAYMENT_SUM,290065,binary,-0.0086,4e-06,-0.0122,-0.005,-0.0222,0.0,-0.0086,4e-06,0.0016,0.0008,0.0001,0.0222,spearman,-0.0222,0.0,negative,negligible,True,False,0.002302,negligible,False,0.0234,True,1.1813,-0.0222,0.0124,very_weak,False,10,345,,0.0222,0,0,0,0,0,very_weak
21,APPROVED_DAYS_DECISION_MEAN,290065,binary,0.0389,0.0,0.0353,0.0425,0.045,0.0,0.0389,0.0,0.0015,0.0007,0.0015,0.045,spearman,0.045,0.0,positive,negligible,True,False,0.002685,negligible,False,0.0393,True,1.3169,0.045,0.0297,weak,False,10,34247,,0.045,0,0,1,1,2,weak
22,APPROVED_DAYS_DECISION_MIN,290065,binary,0.0535,0.0,0.0499,0.0571,0.0537,0.0,0.0535,0.0,0.0022,0.0011,0.0029,0.0537,spearman,0.0537,0.0,positive,negligible,True,False,0.002069,negligible,False,0.0435,True,1.285,0.0537,0.0398,weak,False,10,2921,,0.0537,1,0,1,0,2,weak
23,APPROVED_SK_ID_PREV_NUNIQUE,290065,binary,-0.0316,0.0,-0.0353,-0.028,-0.0352,0.0,-0.0316,0.0,0.0064,0.0032,0.001,0.0352,spearman,-0.0352,0.0,negative,negligible,True,False,0.007168,weak,True,0.0247,True,1.1249,-0.0352,0.0163,very_weak,False,6,25,,0.0352,0,1,0,0,1,very_weak
24,APP_ADDRESS_MISMATCH_COUNT,307511,binary,0.0448,0.0,0.0413,0.0484,0.0479,0.0,0.0448,0.0,0.0043,0.0021,0.002,0.0479,spearman,0.0479,0.0,positive,negligible,True,False,0.00459,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0479,0,0,0,0,0,very_weak
25,APP_ANNUITY_INCOME_RATIO,307499,binary,0.0143,0.0,0.0107,0.0178,0.0184,0.0,0.0143,0.0,0.0066,0.0033,0.0002,0.0184,spearman,0.0184,0.0,positive,negligible,True,False,0.00605,weak,True,0.0172,True,1.0968,0.0184,0.0059,very_weak,False,10,88811,,0.0184,0,1,0,0,1,very_weak
26,APP_CAR_BIRTH_RATIO,104582,binary,-0.0488,0.0,-0.0549,-0.0428,-0.0666,0.0,-0.0488,0.0,0.002,0.001,0.0024,0.0666,spearman,-0.0666,0.0,negative,negligible,True,False,0.029883,moderate,True,0.0511,True,1.2649,-0.0666,0.074,weak,True,10,78396,,0.0666,1,2,1,0,4,moderate
27,APP_CONTACT_COUNT,307511,binary,0.0208,0.0,0.0172,0.0243,0.0219,0.0,0.0208,0.0,0.0186,0.0093,0.0004,0.0219,spearman,0.0219,0.0,positive,negligible,True,False,0.018627,weak,True,0.0332,True,1.1131,0.0219,0.0173,very_weak,False,5,6,,0.0219,0,1,1,0,2,weak
28,APP_CREDIT_ANNUITY_RATIO,307499,binary,-0.0321,0.0,-0.0356,-0.0286,-0.0303,0.0,-0.0321,0.0,0.0194,0.0097,0.001,0.0321,pearson,-0.0321,0.0,negative,negligible,True,False,0.019635,weak,True,0.0944,False,1.7679,-0.0303,0.1436,medium,True,10,39539,,0.0321,0,1,2,1,4,moderate
29,APP_CREDIT_INCOME_RATIO,307511,binary,-0.0077,1.8e-05,-0.0113,-0.0042,-0.0018,0.318753,-0.0077,1.8e-05,0.0042,0.0021,0.0001,0.0077,point_biserial,-0.0077,1.8e-05,none,negligible,True,False,0.003924,negligible,False,0.0229,True,1.1391,-0.0018,0.0104,very_weak,False,10,48697,,0.0077,0,0,0,0,0,very_weak
30,APP_DOCUMENT_COUNT,307511,binary,0.0172,0.0,0.0137,0.0207,0.0181,0.0,0.0172,0.0,0.0499,0.025,0.0003,0.0181,spearman,0.0181,0.0,positive,negligible,True,False,0.049432,moderate,True,,False,,,,none,False,0,0,too_few_valid_bins,0.0181,0,2,0,0,2,weak
31,APP_EMPLOYED_BIRTH_RATIO,252137,binary,-0.068,0.0,-0.0718,-0.0641,-0.0679,0.0,-0.068,0.0,0.0029,0.0015,0.0046,0.068,pearson,-0.068,0.0,negative,negligible,True,False,0.004563,negligible,False,0.0611,True,1.3628,-0.0679,0.0679,weak,True,10,249434,,0.068,1,0,1,1,3,weak
32,APP_EXT_SOURCE_MAX,307339,binary,-0.1969,0.0,-0.2003,-0.1935,-0.1757,0.0,-0.1969,0.0,0.0171,0.0085,0.0388,0.1969,pearson,-0.1969,0.0,negative,weak,True,False,0.017253,weak,True,0.1821,True,2.6089,-0.1757,0.4426,strong,True,10,121113,,0.1969,2,1,3,2,8,strong
33,APP_EXT_SOURCE_MEAN,307339,binary,-0.2221,0.0,-0.2254,-0.2187,-0.2043,0.0,-0.2221,0.0,0.0236,0.0118,0.0493,0.2221,pearson,-0.2221,0.0,negative,weak,True,False,0.023564,moderate,True,0.2089,True,2.8407,-0.2043,0.6086,strong,True,10,300347,,0.2221,2,2,3,2,9,strong
34,APP_EXT_SOURCE_MIN,307339,binary,-0.1853,0.0,-0.1887,-0.1818,-0.1803,0.0,-0.1853,0.0,0.0184,0.0092,0.0343,0.1853,pearson,-0.1853,0.0,negative,weak,True,False,0.018027,weak,True,0.186,True,2.6298,-0.1803,0.4663,strong,True,10,139146,,0.1853,2,1,3,2,8,strong
35,APP_EXT_SOURCE_STD,270602,binary,0.0477,0.0,0.0439,0.0515,0.0452,0.0,0.0477,0.0,0.001,0.0005,0.0023,0.0477,pearson,0.0477,0.0,positive,negligible,True,False,0.001622,negligible,False,0.0395,True,1.3055,0.0452,0.0325,weak,False,10,269867,,0.0477,0,0,1,1,2,weak
36,APP_GOODS_CREDIT_RATIO,307233,binary,-0.0654,0.0,-0.0689,-0.0619,-0.0668,0.0,-0.0654,0.0,0.0156,0.0078,0.0043,0.0668,spearman,-0.0668,0.0,negative,negligible,True,False,0.014385,weak,True,0.0755,True,1.554,-0.0668,0.0721,weak,True,8,3066,,0.0668,1,1,1,1,4,moderate
