Unnamed: 0,column,dtype,non_null_count_x,unique_count,unique_percentage,duplicate_count,duplicate_value_ratio,constant_flag,top_value_percentage,quasi_constant_flag,top_value,top_value_count,top_values_preview,non_null_count_y,dominant_value,dominant_value_pct,second_dominant_value,second_dominant_pct,top_values,suspicious_uniformity_flag,dominance_note,non_null_count,missing_count_x,missing_pct,cardinality_count,cardinality_group,high_cardinality_flag,very_high_cardinality_flag,potential_id_flag,numeric_categorical_flag,encoding_recommendation,sample_values,missing_count_y,missing_percentage,top_category,top_category_percentage,rare_category_count,rare_category_percentage,rare_grouping_recommended,category_distribution_balance,normalized_entropy,high_cardinality,unseen_category_risk,unseen_category_count,unseen_category_ratio,unseen_categories,potential_typos,train_category_count,test_category_count,train_top_categories,test_top_categories,count,min_value,max_value,range_value,mean_value,median_value,std_dev,coef_of_variation,p25,p75,iqr_x,skewness_x,kurtosis_x,zero_count,negative_count,q1_x,q3_x,iqr_y,lower_bound,upper_bound,outlier_count_x,outlier_percentage,missing_rate,mean,median,std,min,q1_y,q3_y,max,iqr,skewness_y,kurtosis_y,outlier_count_y,outlier_rate,skew_label,variance_flag,normality_pvalue,normality_label,missing_count,iqr_q1,iqr_q3,iqr_value,iqr_lower_bound,iqr_upper_bound,iqr_lower_count,iqr_upper_count,iqr_total_count,iqr_total_pct,extreme_iqr_count,extreme_iqr_pct,zscore_lower_bound,zscore_upper_bound,zscore_lower_count,zscore_upper_count,zscore_total_count,zscore_total_pct,mod_zscore_mad,mod_zscore_count,mod_zscore_pct,pctl_lower_bound,pctl_upper_bound,pctl_count,pctl_pct,kurtosis,distribution_type_x,is_heavy_tailed,is_skewed,heavy_tail_flag,has_outliers,outlier_severity,suggested_treatment,winsorize_lower,winsorize_upper,distribution_type_y,transformation_recommendation,scaling_needed,clipping_recommendation,winsorization_recommendation,is_numeric,is_discrete,is_near_constant,zero_inflation_flag,binning_opportunity,structure_score,recommended_action,reason,zero_ratio
0,AMT_ANNUITY,float64,307499,13672,4.45,293827,95.55,False,2.08,False,9000.0,6385,"[(np.float64(9000.0), 6385), (np.float64(13500.0), 5514), (np.float64(6750.0), 2279)]",307499,9000.0,2.08,13500.0,1.79,"[('9000.0', 2.08), ('13500.0', 1.79), ('6750.0', 0.74)]",False,Most frequent dominates with 2.08%,307499,12,0.0,13672,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['24700.5', '4369.5', '15606.0', '22446.0', '52443.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,307499.0,1615.5,258025.5,256410.0,27108.5739,24903.0,14493.7373,0.5347,16524.0,34596.0,18072.0,1.5798,7.7072,0.0,0.0,16524.0,34596.0,18072.0,-10584.0,61704.0,7504.0,2.4403,0.0,27108.5739,24903.0,14493.7373,1615.5,16524.0,34596.0,258025.5,18072.0,1.5798,7.7073,7504.0,0.0244,highly_skewed,variable,0.0,non_normal,12.0,16524.0,34596.0,18072.0,-10584.0,61704.0,0.0,7504.0,7504.0,2.44,1024.0,0.33,-16372.64,70589.79,0.0,2959.0,2959.0,0.96,8815.5,2948.0,0.96,6182.91,70006.5,6145.0,2.0,7.71,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-10584.0,61704.0,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,False,False,True,0.5,treat_as_categorical,"high_skew, discrete",0.0
1,AMT_CREDIT,float64,307511,5603,1.82,301908,98.18,False,3.16,False,450000.0,9709,"[(np.float64(450000.0), 9709), (np.float64(675000.0), 8877), (np.float64(225000.0), 8162)]",307511,450000.0,3.16,675000.0,2.89,"[('450000.0', 3.16), ('675000.0', 2.89), ('225000.0', 2.65)]",False,Most frequent dominates with 3.16%,307511,0,0.0,5603,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['406597.5', '165915.0', '680724.0', '1091565.0', '1355328.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,307511.0,45000.0,4050000.0,4005000.0,599025.9997,513531.0,402490.777,0.6719,270000.0,808650.0,538650.0,1.2348,1.934,0.0,0.0,270000.0,808650.0,538650.0,-537975.0,1616625.0,6562.0,2.1339,0.0,599025.9997,513531.0,402490.777,45000.0,270000.0,808650.0,4050000.0,538650.0,1.2348,1.934,6562.0,0.0213,highly_skewed,variable,0.0,non_normal,0.0,270000.0,808650.0,538650.0,-537975.0,1616625.0,0.0,6562.0,6562.0,2.13,444.0,0.14,-608446.33,1806498.33,0.0,3255.0,3255.0,1.06,251469.0,3215.0,1.05,76410.0,1854000.0,5811.0,1.89,1.93,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-537975.0,1616625.0,right_skewed,log1p,True,False,True,True,True,False,False,True,0.5,treat_as_categorical,"high_skew, discrete",0.0
2,AMT_GOODS_PRICE,float64,307233,1002,0.33,306231,99.67,False,8.47,False,450000.0,26022,"[(np.float64(450000.0), 26022), (np.float64(225000.0), 25282), (np.float64(675000.0), 24962)]",307233,450000.0,8.47,225000.0,8.23,"[('450000.0', 8.47), ('225000.0', 8.23), ('675000.0', 8.12)]",False,Most frequent dominates with 8.47%,307233,278,0.09,1002,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['351000.0', '918000.0', '1638000.0', '464463.0', '379867.5']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,307233.0,40500.0,4050000.0,4009500.0,538396.2074,450000.0,369446.4605,0.6862,238500.0,679500.0,441000.0,1.349,2.4319,0.0,0.0,238500.0,679500.0,441000.0,-423000.0,1341000.0,14728.0,4.7938,0.0009,538396.2074,450000.0,369446.4605,40500.0,238500.0,679500.0,4050000.0,441000.0,1.349,2.4319,14728.0,0.0479,highly_skewed,variable,0.0,non_normal,278.0,238500.0,679500.0,441000.0,-423000.0,1341000.0,0.0,14728.0,14728.0,4.79,1090.0,0.35,-569943.17,1646735.59,0.0,4173.0,4173.0,1.36,225000.0,4339.0,1.41,67500.0,1800000.0,3493.0,1.14,2.43,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-423000.0,1341000.0,right_skewed,log1p,True,False,True,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0
3,AMT_INCOME_TOTAL,float64,307511,2548,0.83,304963,99.17,False,11.63,False,135000.0,35750,"[(np.float64(135000.0), 35750), (np.float64(112500.0), 31019), (np.float64(157500.0), 26556)]",307511,135000.0,11.63,112500.0,10.09,"[('135000.0', 11.63), ('112500.0', 10.09), ('157500.0', 8.64)]",False,Most frequent dominates with 11.63%,307511,0,0.0,2548,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['202500.0', '49050.0', '54900.0', '45675.0', '187222.5']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,307511.0,25650.0,117000000.0,116974350.0,168797.9193,147150.0,237123.1463,1.4048,112500.0,202500.0,90000.0,391.5577,191783.436,0.0,0.0,112500.0,202500.0,90000.0,-22500.0,337500.0,14035.0,4.5641,0.0,168797.9193,147150.0,237123.1463,25650.0,112500.0,202500.0,117000000.0,90000.0,391.5597,191786.5544,14035.0,0.0456,highly_skewed,variable,0.0,non_normal,0.0,112500.0,202500.0,90000.0,-22500.0,337500.0,0.0,14035.0,14035.0,4.56,3014.0,0.98,-542571.52,880167.36,0.0,454.0,454.0,0.15,43650.0,9331.0,3.03,45000.0,472500.0,4522.0,1.47,191783.44,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-22500.0,337500.0,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0
4,AMT_REQ_CREDIT_BUREAU_DAY,float64,265992,9,0.0,265983,100.0,False,99.44,True,0.0,264503,"[(np.float64(0.0), 264503), (np.float64(1.0), 1292), (np.float64(2.0), 106)]",265992,0.0,99.44,1.0,0.49,"[('0.0', 99.44), ('1.0', 0.49), ('2.0', 0.04)]",True,Appears uniformly dominated,265992,41519,13.5,9,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0.0', '1.0', '3.0', '2.0', '4.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,265992.0,0.0,9.0,9.0,0.007,0.0,0.1108,15.822,0.0,0.0,0.0,27.0434,1151.8459,264503.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.0,0.5598,0.135,0.007,0.0,0.1108,0.0,0.0,0.0,9.0,0.0,27.0435,1151.8676,0.0,0.0,highly_skewed,variable,0.0,non_normal,41519.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.0,1489.0,0.56,1489.0,0.56,-0.33,0.34,0.0,1489.0,1489.0,0.56,0.07,1489.0,0.56,0.0,0.0,1489.0,0.56,1151.85,right_skewed,True,True,True,True,low,investigate_individually,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.9944
5,AMT_REQ_CREDIT_BUREAU_HOUR,float64,265992,5,0.0,265987,100.0,False,99.39,True,0.0,264366,"[(np.float64(0.0), 264366), (np.float64(1.0), 1560), (np.float64(2.0), 56)]",265992,0.0,99.39,1.0,0.59,"[('0.0', 99.39), ('1.0', 0.59), ('2.0', 0.02)]",True,Appears uniformly dominated,265992,41519,13.5,5,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0.0', '1.0', '2.0', '3.0', '4.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,265992.0,0.0,4.0,4.0,0.0064,0.0,0.0838,13.0964,0.0,0.0,0.0,14.534,254.2388,264366.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,0.6113,0.135,0.0064,0.0,0.0838,0.0,0.0,0.0,4.0,0.0,14.5341,254.2436,0.0,0.0,highly_skewed,variable,0.0,non_normal,41519.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,1626.0,0.61,1626.0,0.61,-0.25,0.26,0.0,1626.0,1626.0,0.61,0.06,1626.0,0.61,0.0,0.0,1626.0,0.61,254.24,right_skewed,True,True,True,True,low,investigate_individually,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.9939
6,AMT_REQ_CREDIT_BUREAU_MON,float64,265992,24,0.01,265968,99.99,False,83.55,False,0.0,222233,"[(np.float64(0.0), 222233), (np.float64(1.0), 33147), (np.float64(2.0), 5386)]",265992,0.0,83.55,1.0,12.46,"[('0.0', 83.55), ('1.0', 12.46), ('2.0', 2.02)]",False,Most frequent dominates with 83.55%,265992,41519,13.5,24,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['0.0', '5.0', '4.0', '12.0', '17.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,265992.0,0.0,27.0,27.0,0.2674,0.0,0.916,3.4256,0.0,0.0,0.0,7.8048,90.4331,222233.0,0.0,0.0,0.0,0.0,0.0,0.0,43759.0,16.4512,0.135,0.2674,0.0,0.916,0.0,0.0,0.0,27.0,0.0,7.8048,90.4349,0.0,0.0,highly_skewed,variable,0.0,non_normal,41519.0,0.0,0.0,0.0,0.0,0.0,0.0,43759.0,43759.0,16.45,43759.0,16.45,-2.48,3.02,0.0,3235.0,3235.0,1.22,0.62,3235.0,1.22,0.0,4.0,2159.0,0.81,90.43,right_skewed,True,True,True,True,severe,consider_log_transform,0.0,0.0,zero_inflated,log1p_or_tweedie,True,True,False,True,True,True,True,True,0.7,drop_or_encode,near_constant,0.8355
7,AMT_REQ_CREDIT_BUREAU_QRT,float64,265992,11,0.0,265981,100.0,False,80.99,False,0.0,215417,"[(np.float64(0.0), 215417), (np.float64(1.0), 33862), (np.float64(2.0), 14412)]",265992,0.0,80.99,1.0,12.73,"[('0.0', 80.99), ('1.0', 12.73), ('2.0', 5.42)]",False,Most frequent dominates with 80.99%,265992,41519,13.5,11,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['0.0', '2.0', '3.0', '5.0', '7.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,265992.0,0.0,261.0,261.0,0.2655,0.0,0.7941,2.9911,0.0,0.0,0.0,134.365,43706.6431,215417.0,0.0,0.0,0.0,0.0,0.0,0.0,50575.0,19.0137,0.135,0.2655,0.0,0.7941,0.0,0.0,0.0,261.0,0.0,134.3658,43707.4648,0.0,0.0,highly_skewed,variable,0.0,non_normal,41519.0,0.0,0.0,0.0,0.0,0.0,0.0,50575.0,50575.0,19.01,50575.0,19.01,-2.12,2.65,0.0,2301.0,2301.0,0.87,0.54,2301.0,0.87,0.0,2.0,2301.0,0.87,43706.64,right_skewed,True,True,True,True,severe,consider_log_transform,0.0,0.0,zero_inflated,log1p_or_tweedie,True,True,False,True,True,True,True,True,0.5,drop_or_encode,near_constant,0.8099
8,AMT_REQ_CREDIT_BUREAU_WEEK,float64,265992,9,0.0,265983,100.0,False,96.79,True,0.0,257456,"[(np.float64(0.0), 257456), (np.float64(1.0), 8208), (np.float64(2.0), 199)]",265992,0.0,96.79,1.0,3.09,"[('0.0', 96.79), ('1.0', 3.09), ('2.0', 0.07)]",False,Most frequent dominates with 96.79%,265992,41519,13.5,9,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0.0', '1.0', '3.0', '2.0', '4.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,265992.0,0.0,8.0,8.0,0.0344,0.0,0.2047,5.9567,0.0,0.0,0.0,9.2935,166.7491,257456.0,0.0,0.0,0.0,0.0,0.0,0.0,8536.0,3.2091,0.135,0.0344,0.0,0.2047,0.0,0.0,0.0,8.0,0.0,9.2936,166.7522,0.0,0.0,highly_skewed,variable,0.0,non_normal,41519.0,0.0,0.0,0.0,0.0,0.0,0.0,8536.0,8536.0,3.21,8536.0,3.21,-0.58,0.65,0.0,8536.0,8536.0,3.21,0.14,8536.0,3.21,0.0,1.0,328.0,0.12,166.75,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,True,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.9679
9,AMT_REQ_CREDIT_BUREAU_YEAR,float64,265992,25,0.01,265967,99.99,False,26.99,False,0.0,71801,"[(np.float64(0.0), 71801), (np.float64(1.0), 63405), (np.float64(2.0), 50192)]",265992,0.0,26.99,1.0,23.84,"[('0.0', 26.99), ('1.0', 23.84), ('2.0', 18.87)]",False,Most frequent dominates with 26.99%,265992,41519,13.5,25,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['1.0', '3.0', '10.0', '25.0', '17.0']",,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,,265992.0,0.0,25.0,25.0,1.9,1.0,1.8693,0.9839,0.0,3.0,3.0,1.2436,1.969,71801.0,0.0,0.0,3.0,3.0,-4.5,7.5,3364.0,1.2647,0.135,1.9,1.0,1.8693,0.0,0.0,3.0,25.0,3.0,1.2436,1.969,3364.0,0.0126,highly_skewed,variable,0.0,non_normal,41519.0,0.0,3.0,3.0,-4.5,7.5,0.0,3364.0,3364.0,1.26,58.0,0.02,-3.71,7.51,0.0,3364.0,3364.0,1.26,1.0,7233.0,2.72,0.0,8.0,1237.0,0.47,1.97,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-4.5,7.5,right_skewed,log1p,True,False,False,True,True,True,False,True,0.5,drop_or_encode,near_constant,0.2699
