original_feature_name,clean_feature_name
CNT_CHILDREN,CNT_CHILDREN
AMT_INCOME_TOTAL,AMT_INCOME_TOTAL
AMT_CREDIT,AMT_CREDIT
AMT_ANNUITY,AMT_ANNUITY
AMT_GOODS_PRICE,AMT_GOODS_PRICE
REGION_POPULATION_RELATIVE,REGION_POPULATION_RELATIVE
DAYS_BIRTH,DAYS_BIRTH
DAYS_EMPLOYED,DAYS_EMPLOYED
DAYS_REGISTRATION,DAYS_REGISTRATION
DAYS_ID_PUBLISH,DAYS_ID_PUBLISH
OWN_CAR_AGE,OWN_CAR_AGE
FLAG_MOBIL,FLAG_MOBIL
FLAG_EMP_PHONE,FLAG_EMP_PHONE
FLAG_WORK_PHONE,FLAG_WORK_PHONE
FLAG_CONT_MOBILE,FLAG_CONT_MOBILE
FLAG_PHONE,FLAG_PHONE
FLAG_EMAIL,FLAG_EMAIL
OCCUPATION_TYPE,OCCUPATION_TYPE
CNT_FAM_MEMBERS,CNT_FAM_MEMBERS
REGION_RATING_CLIENT,REGION_RATING_CLIENT
REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT_W_CITY
HOUR_APPR_PROCESS_START,HOUR_APPR_PROCESS_START
REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_LIVE_REGION
REG_REGION_NOT_WORK_REGION,REG_REGION_NOT_WORK_REGION
LIVE_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION
REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_LIVE_CITY
REG_CITY_NOT_WORK_CITY,REG_CITY_NOT_WORK_CITY
LIVE_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY
EXT_SOURCE_1,EXT_SOURCE_1
EXT_SOURCE_2,EXT_SOURCE_2
EXT_SOURCE_3,EXT_SOURCE_3
APARTMENTS_AVG,APARTMENTS_AVG
BASEMENTAREA_AVG,BASEMENTAREA_AVG
YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_AVG
YEARS_BUILD_AVG,YEARS_BUILD_AVG
COMMONAREA_AVG,COMMONAREA_AVG
ELEVATORS_AVG,ELEVATORS_AVG
ENTRANCES_AVG,ENTRANCES_AVG
FLOORSMAX_AVG,FLOORSMAX_AVG
FLOORSMIN_AVG,FLOORSMIN_AVG
LANDAREA_AVG,LANDAREA_AVG
LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_AVG
LIVINGAREA_AVG,LIVINGAREA_AVG
NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_AVG
NONLIVINGAREA_AVG,NONLIVINGAREA_AVG
APARTMENTS_MODE,APARTMENTS_MODE
BASEMENTAREA_MODE,BASEMENTAREA_MODE
YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MODE
YEARS_BUILD_MODE,YEARS_BUILD_MODE
COMMONAREA_MODE,COMMONAREA_MODE
ELEVATORS_MODE,ELEVATORS_MODE
ENTRANCES_MODE,ENTRANCES_MODE
FLOORSMAX_MODE,FLOORSMAX_MODE
FLOORSMIN_MODE,FLOORSMIN_MODE
LANDAREA_MODE,LANDAREA_MODE
LIVINGAPARTMENTS_MODE,LIVINGAPARTMENTS_MODE
LIVINGAREA_MODE,LIVINGAREA_MODE
NONLIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MODE
NONLIVINGAREA_MODE,NONLIVINGAREA_MODE
APARTMENTS_MEDI,APARTMENTS_MEDI
BASEMENTAREA_MEDI,BASEMENTAREA_MEDI
YEARS_BEGINEXPLUATATION_MEDI,YEARS_BEGINEXPLUATATION_MEDI
YEARS_BUILD_MEDI,YEARS_BUILD_MEDI
COMMONAREA_MEDI,COMMONAREA_MEDI
ELEVATORS_MEDI,ELEVATORS_MEDI
ENTRANCES_MEDI,ENTRANCES_MEDI
FLOORSMAX_MEDI,FLOORSMAX_MEDI
FLOORSMIN_MEDI,FLOORSMIN_MEDI
LANDAREA_MEDI,LANDAREA_MEDI
LIVINGAPARTMENTS_MEDI,LIVINGAPARTMENTS_MEDI
LIVINGAREA_MEDI,LIVINGAREA_MEDI
NONLIVINGAPARTMENTS_MEDI,NONLIVINGAPARTMENTS_MEDI
NONLIVINGAREA_MEDI,NONLIVINGAREA_MEDI
TOTALAREA_MODE,TOTALAREA_MODE
OBS_30_CNT_SOCIAL_CIRCLE,OBS_30_CNT_SOCIAL_CIRCLE
DEF_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE
OBS_60_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE
DEF_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE
DAYS_LAST_PHONE_CHANGE,DAYS_LAST_PHONE_CHANGE
FLAG_DOCUMENT_2,FLAG_DOCUMENT_2
FLAG_DOCUMENT_3,FLAG_DOCUMENT_3
FLAG_DOCUMENT_4,FLAG_DOCUMENT_4
FLAG_DOCUMENT_5,FLAG_DOCUMENT_5
FLAG_DOCUMENT_6,FLAG_DOCUMENT_6
FLAG_DOCUMENT_7,FLAG_DOCUMENT_7
FLAG_DOCUMENT_8,FLAG_DOCUMENT_8
FLAG_DOCUMENT_9,FLAG_DOCUMENT_9
FLAG_DOCUMENT_10,FLAG_DOCUMENT_10
FLAG_DOCUMENT_11,FLAG_DOCUMENT_11
FLAG_DOCUMENT_12,FLAG_DOCUMENT_12
FLAG_DOCUMENT_13,FLAG_DOCUMENT_13
FLAG_DOCUMENT_14,FLAG_DOCUMENT_14
FLAG_DOCUMENT_15,FLAG_DOCUMENT_15
FLAG_DOCUMENT_16,FLAG_DOCUMENT_16
